experiment_id,campaign_type,kpi,kpi_type,n_control,n_treatment,control_mean,treatment_mean,t_stat,p_value,cohens_d,relative_lift_pct,significant_raw,z_stat,p_value_bh,significant_bh,effect_size_label
EXP_0001,email,revenue_per_user,continuous,13436,9338,11.277872,12.14041,17.6902,0.0,0.2383,7.65,True,,0.0,True,small
EXP_0002,push_notification,open_rate,rate,16955,9557,0.339302,0.387775,,0.0,1.9684,14.29,True,7.9106,0.0,True,large
EXP_0003,direct_mail,retention_rate,rate,6258,13001,0.168583,0.154812,,0.014449,-0.4984,-8.17,True,-2.4459,0.024082,True,small
EXP_0004,push_notification,open_rate,rate,11384,3931,0.269364,0.268306,,0.897392,-0.0409,-0.39,False,-0.129,0.912602,False,negligible
EXP_0005,push_notification,open_rate,rate,14043,10038,0.256376,0.28489,,1e-06,0.7881,11.12,True,4.924,2e-06,True,medium
EXP_0006,sms,revenue_per_user,continuous,13098,3655,59.355021,69.979729,29.5723,0.0,0.5532,17.9,True,,0.0,True,medium
EXP_0007,push_notification,conversion_rate,rate,1707,3656,0.233692,0.290149,,1.5e-05,1.7,24.16,True,4.3271,3.2e-05,True,large
EXP_0008,display_ad,click_rate,rate,12453,1585,0.112462,0.101619,,0.195979,-0.5799,-9.64,False,-1.2931,0.244974,False,medium
EXP_0009,direct_mail,click_rate,rate,9252,13576,0.291425,0.282076,,0.124822,-0.3117,-3.21,False,-1.5348,0.170212,False,small
EXP_0010,email,open_rate,rate,15659,14724,0.098506,0.103189,,0.175365,0.1403,4.75,False,1.3552,0.22387,False,negligible
EXP_0011,sms,click_rate,rate,13990,12975,0.066323,0.098553,,0.0,1.0437,48.6,True,9.6472,0.0,True,large
EXP_0012,sms,revenue_per_user,continuous,5961,14620,12.022015,12.743142,12.7905,0.0,0.1966,6.0,True,,0.0,True,negligible
EXP_0013,display_ad,click_rate,rate,16364,12005,0.301689,0.372407,,0.0,2.0575,23.44,True,12.4998,0.0,True,large
EXP_0014,display_ad,open_rate,rate,15392,8900,0.201766,0.245921,,0.0,1.5466,21.88,True,8.0316,0.0,True,large
EXP_0015,direct_mail,conversion_rate,rate,9493,7590,0.042133,0.046685,,0.150154,0.142,10.8,False,1.439,0.195853,False,negligible
